                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72687,                0.83347,                0.65381,                0.91953,                0.00026,                0.01167,                0.00014,                  2e-05,                      0,                      0,                      0,                      0,                 5.5297,                    nan,                    nan,                 19.022,               0.003268,               0.003268,               0.003268
                      2,                 1.2736,                 1.1059,                 1.2451,                 1.1707,                0.71116,                0.71595,                0.74967,                0.44875,                0.69099,                0.68739,                0.70873,                0.22789,                 1.2464,                 1.0107,                 1.5118,                 1.2208,               0.006536,               0.006536,               0.006536
                      3,                 1.4865,                 1.3818,                 1.5461,                 1.2621,                 0.7903,                0.67315,                0.76218,                0.49346,                0.69995,                0.56031,                0.54754,                0.12307,                 1.1034,                 1.7961,                 1.3104,                 1.1341,              0.0097379,              0.0097379,              0.0097379
                      4,                 1.5332,                 1.3379,                 1.2805,                 1.2863,                0.81519,                0.64591,                0.79354,                0.40252,                0.79102,                0.64202,                 0.7561,                0.24137,                 1.6355,                0.80319,                 1.4781,                  1.539,               0.009703,               0.009703,               0.009703
                      5,                 1.3561,                 1.0564,                0.97647,                   1.18,                0.86492,                0.90272,                0.93991,                0.61812,                0.83899,                0.68482,                0.77347,                0.33887,                 1.1013,                 1.6616,                0.77815,                 1.0516,               0.009703,               0.009703,               0.009703
                      6,                 1.1633,                 1.0583,                0.93614,                 1.0988,                0.75568,                 0.8716,                0.83773,                0.54609,                0.78789,                 0.8677,                0.83842,                0.36241,                 1.0554,                0.84212,                  1.034,                 1.0371,               0.009604,               0.009604,               0.009604
                      7,                 1.1204,                0.98004,                 0.7996,                 1.0609,                0.88069,                0.91829,                0.94967,                0.67357,                0.87819,                0.89883,                0.94075,                0.41163,                 1.0171,                0.70741,                0.66572,                 1.0199,               0.009505,               0.009505,               0.009505
                      8,                 1.0632,                0.90591,                  0.729,                 1.0303,                0.98254,                0.92607,                0.97597,                0.73832,                0.97157,                 0.9144,                 0.9665,                0.50027,                0.82864,                0.68338,                0.56851,                0.93439,               0.009406,               0.009406,               0.009406
                      9,                0.94572,                0.95182,                0.69141,                0.98297,                0.94708,                0.90533,                0.96362,                0.81199,                0.94201,                0.90272,                0.96304,                0.51216,                 0.6029,                0.68527,                0.90284,                0.86559,               0.009307,               0.009307,               0.009307
                     10,                0.90435,                0.83815,                0.65883,                0.97185,                0.92489,                0.95832,                0.97171,                0.76564,                0.90624,                0.94026,                0.96369,                0.52264,                0.75225,                0.65154,                0.51865,                0.90848,               0.009208,               0.009208,               0.009208
