                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5837,                 1.3474,                 2.4836,                 2.7114,                0.05113,                0.86381,                0.10289,                0.03265,                0.05474,                0.90272,                 0.1462,                0.04896,                 2.2409,                0.94308,                  2.235,                 2.5779,             0.00065359,             0.00065359,             0.00065359
                      2,                 2.4303,                0.98773,                 2.1288,                 2.5252,                0.08846,                0.79904,                0.11524,                0.03962,                0.09943,                0.85603,                0.16167,                0.05076,                 2.1831,                0.82753,                 2.0827,                 2.5262,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.3795,                0.95508,                  2.016,                  2.459,                0.12706,                0.45525,                0.14024,                0.04226,                0.15459,                0.50584,                0.18079,                0.04515,                  2.286,                0.86594,                 2.0936,                 2.5872,              0.0019476,              0.0019476,              0.0019476
                      4,                 2.2688,                0.98133,                 1.9579,                 2.3704,                0.16594,                0.59144,                0.18586,                0.06269,                0.22411,                0.62257,                0.27608,                0.09198,                 2.1011,                0.72012,                 1.9014,                 2.4213,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1108,                0.92738,                 1.8501,                  2.267,                0.20902,                 0.4786,                0.21892,                0.08202,                0.23111,                0.52918,                0.28803,                0.08537,                 2.1282,                0.75861,                 1.9533,                 2.4413,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.0128,                0.87483,                 1.7219,                 2.1969,                 0.3033,                0.40467,                0.32213,                0.14345,                0.30517,                0.41634,                0.33152,                0.10668,                 1.8625,                0.82012,                 1.6627,                  2.275,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9755,                0.87091,                 1.6377,                 2.1388,                0.38176,                0.44358,                0.42256,                 0.1818,                0.38997,                0.45136,                0.43429,                0.15089,                  1.744,                0.72074,                 1.6029,                 2.1569,               0.001901,               0.001901,               0.001901
                      8,                 1.8596,                0.88853,                  1.537,                 2.0604,                0.57728,                0.40078,                0.54344,                0.27036,                 0.4569,                0.49416,                0.55558,                0.24754,                 1.6064,                0.62206,                 1.3901,                 2.0769,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.815,                0.85539,                 1.4384,                 2.0001,                0.65169,                0.47082,                0.62679,                0.27925,                0.63112,                0.49416,                0.64952,                  0.197,                 1.6858,                0.73243,                 1.4771,                 2.1178,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.723,                0.83468,                 1.2949,                 1.9315,                0.62727,                0.65483,                0.75336,                0.41494,                0.68281,                 0.6537,                0.76908,                 0.3269,                 1.4553,                0.70987,                 1.2095,                 1.8934,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6231,                0.84243,                 1.2171,                 1.8489,                0.61602,                0.70428,                0.76162,                0.45157,                0.63545,                 0.6965,                0.78337,                0.37698,                 1.4427,                0.60343,                 1.1117,                 1.8894,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5901,                0.85483,                 1.1659,                 1.8291,                0.69134,                0.79767,                0.83109,                0.48327,                0.67605,                0.80934,                0.82176,                0.39623,                 1.3698,                0.66166,                 1.0518,                 1.7713,               0.001802,               0.001802,               0.001802
                     13,                 1.5112,                0.82498,                 1.0758,                 1.7469,                0.67663,                0.82879,                0.83429,                0.48718,                0.67574,                0.83268,                0.82016,                0.35698,                 1.3145,                0.66486,                  0.979,                 1.7535,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4733,                0.81144,                 1.0306,                 1.7103,                 0.7079,                0.82039,                0.86902,                 0.5726,                0.69783,                0.80872,                0.85112,                0.44033,                 1.2103,                0.63202,                0.91798,                 1.6926,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.461,                0.78892,                 1.0171,                 1.7049,                0.74861,                0.86904,                0.88423,                0.56544,                0.73185,                0.84958,                0.87566,                0.46349,                 1.1848,                0.59719,                0.91774,                 1.6562,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3646,                 0.7911,                0.97501,                 1.6208,                0.84247,                0.87397,                0.92723,                0.60308,                0.84639,                0.86381,                 0.9329,                0.50936,                 1.2047,                0.60476,                0.85308,                  1.639,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4117,                 0.8094,                0.96264,                 1.6686,                 0.8291,                0.84944,                0.92431,                0.59504,                0.84808,                0.86889,                0.93778,                0.49999,                 1.2067,                0.61027,                 0.8477,                 1.6215,               0.001703,               0.001703,               0.001703
                     18,                  1.388,                0.81046,                0.94521,                 1.6353,                0.87576,                0.85214,                0.93435,                0.60806,                0.82377,                0.84047,                0.91201,                0.49512,                 1.1628,                0.57256,                0.85119,                    1.6,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3528,                0.78365,                0.91407,                 1.5854,                0.76279,                 0.7821,                0.81967,                0.46283,                0.74311,                0.77432,                0.81144,                0.44514,                 1.5494,                0.60713,                 1.2351,                 1.9759,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2931,                0.77328,                0.88353,                 1.5552,                0.87127,                0.85603,                0.93553,                 0.6499,                0.87127,                0.85603,                0.93756,                0.52119,                 1.1333,                0.59192,                0.75578,                 1.5667,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2713,                0.77269,                0.85363,                 1.5305,                 0.9092,                0.89613,                0.95311,                0.64962,                 0.8941,                0.89105,                0.94727,                0.55556,                 1.1262,                0.58324,                0.75977,                 1.5468,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2377,                0.77228,                0.82888,                 1.4974,                0.87816,                 0.8974,                0.94875,                0.66696,                 0.8591,                0.88327,                  0.942,                0.55012,                 1.0014,                0.56812,                0.73478,                 1.4435,               0.001604,               0.001604,               0.001604
                     23,                 1.1952,                0.78062,                 0.8088,                 1.4838,                0.91777,                0.91197,                0.95179,                 0.6914,                0.92792,                 0.9017,                0.95915,                0.54224,                0.99838,                0.57911,                 0.7303,                 1.4576,              0.0015842,              0.0015842,              0.0015842
