                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94315,                0.84744,                  1.091,                 1.0306,                0.98582,                0.81175,                0.88428,                 0.7323,                0.98106,                0.80615,                0.88245,                0.44626,                0.70389,                0.86256,                 2.3697,                0.90925,               0.003268,               0.003268,               0.003268
                      2,                0.80807,                0.82549,                0.64662,                0.93841,                0.72539,                0.49337,                0.58432,                0.37484,                0.73039,                0.50973,                0.62024,                0.27675,                 1.5029,                0.85355,                 1.6254,                  1.379,               0.006536,               0.006536,               0.006536
                      3,                0.82653,                0.84211,                0.61661,                0.94606,                0.94357,                0.91081,                0.97031,                0.76352,                 0.9404,                0.90272,                0.96903,                0.55351,                 0.7285,                0.63608,                0.60319,                0.91675,              0.0097379,              0.0097379,              0.0097379
                      4,                0.81864,                0.83431,                0.60849,                0.94586,                0.94409,                0.84436,                0.94209,                0.75746,                0.94275,                0.84436,                0.94707,                0.56734,                0.75996,                0.61022,                0.78484,                0.91777,               0.009703,               0.009703,               0.009703
                      5,                0.78193,                0.84143,                0.58536,                0.94133,                0.96452,                0.95204,                0.97381,                0.80109,                0.96058,                0.94815,                0.96904,                0.57329,                0.64906,                0.59361,                0.50476,                0.88328,               0.009703,               0.009703,               0.009703
                      6,                0.76436,                0.80377,                0.57267,                0.92253,                0.95243,                 0.9572,                0.97815,                0.80076,                0.96873,                0.93385,                0.97505,                0.54179,                0.65172,                0.69172,                  0.491,                 0.8785,               0.009604,               0.009604,               0.009604
                      7,                0.77895,                 0.8151,                0.57457,                0.93237,                 0.9381,                0.90272,                0.95388,                0.77817,                0.93935,                0.90393,                 0.9537,                0.51626,                0.65583,                0.75957,                0.54735,                0.86741,               0.009505,               0.009505,               0.009505
                      8,                0.75765,                 0.8223,                 0.5767,                0.92148,                0.95068,                0.97505,                0.97978,                0.82258,                 0.9343,                0.94942,                0.96638,                0.50795,                0.60233,                0.64713,                0.44876,                0.85432,               0.009406,               0.009406,               0.009406
                      9,                0.73492,                0.79186,                0.53871,                0.91206,                0.96175,                0.94942,                0.97858,                0.83536,                0.94909,                0.92996,                0.96626,                 0.5756,                 0.5784,                 0.5806,                0.42584,                0.85546,               0.009307,               0.009307,               0.009307
                     10,                0.72497,                0.78831,                 0.5262,                0.91395,                0.95277,                0.94203,                 0.9773,                 0.8013,                0.94097,                0.93036,                 0.9679,                0.49699,                0.62844,                0.66935,                0.45512,                0.85612,               0.009208,               0.009208,               0.009208
                     11,                0.70874,                0.78117,                0.52515,                0.90557,                0.97592,                0.94636,                0.98273,                0.82615,                0.97111,                0.93385,                0.97461,                0.54834,                 0.5849,                0.59754,                0.43694,                0.85582,               0.009109,               0.009109,               0.009109
                     12,                0.71369,                0.81435,                0.51483,                0.90567,                0.96801,                0.95331,                0.97817,                0.82703,                 0.9719,                0.94198,                0.97448,                0.52124,                0.58395,                0.70103,                0.42781,                0.85537,                0.00901,                0.00901,                0.00901
