                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.59007,                0.68798,                0.42536,                0.85907,                0.96379,                0.96498,                 0.9866,                0.87426,                0.94749,                0.94942,                0.98174,                0.56419,                0.48303,                0.60703,                0.35003,                0.83282,               0.007624,               0.007624,               0.007624
                     27,                0.59236,                0.73441,                0.43323,                0.86271,                0.96799,                0.96498,                0.98172,                0.87405,                0.96825,                0.94935,                0.97805,                0.58566,                0.47314,                0.55235,                0.36094,                0.82649,               0.007525,               0.007525,               0.007525
                     28,                0.58764,                0.68536,                0.42598,                0.86545,                0.95101,                0.98195,                0.98564,                0.88102,                0.93409,                0.96887,                0.97707,                0.56854,                0.47332,                0.57594,                0.36343,                0.82794,               0.007426,               0.007426,               0.007426
                     29,                0.58784,                0.72263,                0.43036,                0.85992,                0.96854,                 0.9583,                0.98085,                0.85339,                0.95282,                0.94294,                0.96854,                0.56511,                0.51404,                0.56652,                0.37156,                0.83876,               0.007327,               0.007327,               0.007327
                     30,                0.57556,                 0.6861,                0.42911,                0.86228,                0.95361,                0.98444,                0.98485,                0.87182,                0.93853,                0.96887,                0.97437,                 0.5747,                0.46559,                0.58563,                0.34386,                0.82895,               0.007228,               0.007228,               0.007228
                     31,                0.59352,                 0.7016,                0.43101,                0.86537,                0.95879,                0.97665,                 0.9856,                0.85543,                0.94258,                0.94553,                0.97546,                0.54414,                0.48473,                0.56099,                0.36565,                0.83426,               0.007129,               0.007129,               0.007129
                     32,                0.58311,                0.68482,                0.42345,                0.86187,                0.97258,                0.96599,                0.98959,                0.87782,                0.96819,                0.94744,                0.98014,                0.57321,                0.45431,                0.57709,                0.35139,                0.82716,                0.00703,                0.00703,                0.00703
                     33,                0.57748,                0.71206,                0.42296,                0.85449,                0.97491,                0.96109,                0.98834,                0.87524,                0.96701,                0.95331,                0.98591,                0.55046,                0.48216,                0.59717,                0.34232,                0.82969,               0.006931,               0.006931,               0.006931
                     34,                0.56981,                0.70407,                0.41676,                 0.8593,                 0.9804,                0.97296,                 0.9885,                0.88466,                0.97879,                0.96887,                0.98776,                0.55258,                0.45374,                0.57859,                0.33371,                0.82677,               0.006832,               0.006832,               0.006832
                     35,                0.57174,                0.70171,                0.41875,                0.85358,                0.96687,                0.96887,                 0.9869,                0.88134,                0.95751,                0.94942,                 0.9782,                0.55036,                0.46586,                0.59784,                0.32746,                0.82645,               0.006733,               0.006733,               0.006733
                     36,                0.55501,                0.67258,                0.40549,                0.85685,                0.98045,                 0.9755,                0.98772,                0.89543,                0.96871,                0.96383,                0.98326,                0.54309,                0.43282,                0.58318,                0.31626,                0.82426,               0.006634,               0.006634,               0.006634
                     37,                0.56169,                 0.6885,                  0.407,                0.85557,                0.96182,                0.98031,                0.98957,                0.89048,                0.94671,                0.96784,                0.98579,                0.58814,                0.46713,                0.53202,                0.32331,                0.82585,               0.006535,               0.006535,               0.006535
                     38,                0.55642,                0.69326,                0.40738,                0.85238,                0.97269,                0.98054,                0.98914,                0.88904,                 0.9574,                0.96201,                0.98209,                0.59318,                0.45945,                0.54333,                0.31381,                 0.8288,               0.006436,               0.006436,               0.006436
                     39,                0.55336,                0.70379,                0.39498,                0.84905,                0.97651,                0.96887,                0.98904,                0.88909,                0.96445,                0.94553,                0.97609,                0.60369,                0.46144,                0.55958,                0.32248,                0.82948,               0.006337,               0.006337,               0.006337
                     40,                0.54479,                 0.6922,                0.39346,                0.84738,                0.95544,                0.98444,                0.98871,                0.87632,                0.94788,                0.97665,                0.98705,                0.58551,                 0.4542,                0.53014,                 0.3333,                0.82771,               0.006238,               0.006238,               0.006238
                     41,                0.54746,                0.68044,                0.39878,                0.85819,                 0.9587,                0.99367,                0.98861,                0.88439,                0.95122,                0.98634,                0.98748,                0.57049,                0.45096,                0.56569,                0.31812,                0.82436,               0.006139,               0.006139,               0.006139
                     42,                0.55132,                0.70052,                0.40132,                0.85008,                0.96722,                0.98054,                0.98998,                0.88671,                0.95523,                0.96887,                0.98641,                0.55301,                0.44682,                0.57616,                 0.3247,                0.82195,                0.00604,                0.00604,                0.00604
                     43,                0.55015,                0.66943,                0.39979,                0.84338,                0.97325,                0.99116,                0.98895,                 0.8835,                0.95798,                0.97569,                0.97892,                0.56107,                0.44398,                0.57591,                0.30381,                 0.8218,               0.005941,               0.005941,               0.005941
                     44,                0.54171,                0.65712,                0.38872,                0.84706,                0.96233,                0.99395,                0.99145,                0.88598,                0.96112,                0.96184,                0.98494,                0.59273,                 0.4544,                0.52271,                0.32399,                0.82077,               0.005842,               0.005842,               0.005842
                     45,                0.54903,                0.67128,                0.39265,                0.84986,                0.97667,                0.99222,                0.99192,                0.88709,                0.95729,                0.97276,                0.98022,                0.57497,                0.45664,                0.58728,                0.31427,                0.82228,               0.005743,               0.005743,               0.005743
                     46,                0.53824,                0.68697,                0.38831,                0.84337,                0.94811,                0.99611,                0.99062,                0.89982,                0.93325,                0.98054,                0.98354,                0.59083,                0.43533,                0.54499,                0.29787,                0.82095,               0.005644,               0.005644,               0.005644
                     47,                0.52169,                0.68043,                0.37508,                0.84853,                0.96183,                0.99222,                0.98937,                0.89743,                0.95854,                0.98955,                0.98897,                 0.5899,                0.43325,                0.53423,                0.30206,                0.82164,               0.005545,               0.005545,               0.005545
                     48,                0.52179,                 0.6788,                0.37738,                 0.8363,                0.96376,                0.98054,                0.98784,                0.89379,                0.94455,                0.96109,                0.97605,                0.58305,                0.43507,                0.57394,                0.29982,                 0.8205,               0.005446,               0.005446,               0.005446
                     49,                0.51889,                0.66714,                0.37022,                0.84679,                 0.9714,                0.98833,                 0.9915,                0.89477,                0.95982,                0.97665,                0.98306,                 0.5826,                0.43071,                0.54698,                0.30092,                0.82342,               0.005347,               0.005347,               0.005347
